bac_bin,n,recid_rate,population,cohort
0.178,136,0.22794117647058823,youth,2009_2022_full4y
0.18,115,0.20869565217391303,youth,2009_2022_full4y
0.182,114,0.11403508771929824,youth,2009_2022_full4y
0.184,114,0.10526315789473684,youth,2009_2022_full4y
0.186,122,0.11475409836065574,youth,2009_2022_full4y
0.188,92,0.25,youth,2009_2022_full4y
0.19,112,0.11607142857142858,youth,2009_2022_full4y
0.192,89,0.11235955056179775,youth,2009_2022_full4y
0.194,84,0.19047619047619047,youth,2009_2022_full4y
0.196,90,0.17777777777777778,youth,2009_2022_full4y
0.198,85,0.09411764705882353,youth,2009_2022_full4y
0.2,41,0.14634146341463414,youth,2009_2022_full4y
